Epoch 1/100, train loss:0.639910, valid auc:0.61858, valid acc:0.61588, valid f1:0.74981
Epoch 27/100, train loss:0.484781, valid auc:0.72593, valid acc:0.60308, valid f1:0.73394
Epoch 28/100, train loss:0.484176, valid auc:0.72587, valid acc:0.60358, valid f1:0.73442
Epoch 29/100, train loss:0.482861, valid auc:0.72624, valid acc:0.60355, valid f1:0.73433
Epoch 30/100, train loss:0.482411, valid auc:0.72730, valid acc:0.60425, valid f1:0.73487
Epoch 31/100, train loss:0.481513, valid auc:0.72746, valid acc:0.60447, valid f1:0.73507
Epoch 32/100, train loss:0.480628, valid auc:0.72512, valid acc:0.60454, valid f1:0.73523
Epoch 33/100, train loss:0.480069, valid auc:0.72532, valid acc:0.60351, valid f1:0.73441
Epoch 34/100, train loss:0.479824, valid auc:0.72620, valid acc:0.60434, valid f1:0.73506
Epoch 35/100, train loss:0.479527, valid auc:0.72772, valid acc:0.60435, valid f1:0.73493
Epoch 36/100, train loss:0.478891, valid auc:0.72666, valid acc:0.60435, valid f1:0.73513
Epoch 37/100, train loss:0.478643, valid auc:0.72584, valid acc:0.60352, valid f1:0.73439
Epoch 38/100, train loss:0.478833, valid auc:0.72523, valid acc:0.60407, valid f1:0.73472
Epoch 39/100, train loss:0.477100, valid auc:0.72496, valid acc:0.60376, valid f1:0.73462
Epoch 40/100, train loss:0.476062, valid auc:0.72588, valid acc:0.60503, valid f1:0.73565
Epoch 41/100, train loss:0.481653, valid auc:0.72216, valid acc:0.60565, valid f1:0.73640
Epoch 42/100, train loss:0.480154, valid auc:0.72357, valid acc:0.60676, valid f1:0.73740
Epoch 43/100, train loss:0.478294, valid auc:0.72419, valid acc:0.60738, valid f1:0.73788
Epoch 44/100, train loss:0.476931, valid auc:0.72568, valid acc:0.60706, valid f1:0.73755
Epoch 45/100, train loss:0.475479, valid auc:0.72657, valid acc:0.60748, valid f1:0.73792
Epoch 46/100, train loss:0.474619, valid auc:0.72652, valid acc:0.60716, valid f1:0.73764
Epoch 47/100, train loss:0.473290, valid auc:0.72698, valid acc:0.60910, valid f1:0.73921
Epoch 48/100, train loss:0.472079, valid auc:0.72746, valid acc:0.60921, valid f1:0.73931
Epoch 49/100, train loss:0.471490, valid auc:0.72703, valid acc:0.61021, valid f1:0.74015
Epoch 50/100, train loss:0.470991, valid auc:0.72711, valid acc:0.60964, valid f1:0.73968
Epoch 51/100, train loss:0.470740, valid auc:0.72727, valid acc:0.61068, valid f1:0.74049
Epoch 52/100, train loss:0.469745, valid auc:0.72767, valid acc:0.61045, valid f1:0.74016
Epoch 53/100, train loss:0.469233, valid auc:0.72777, valid acc:0.61135, valid f1:0.74103
Epoch 54/100, train loss:0.468820, valid auc:0.72767, valid acc:0.61000, valid f1:0.73985
Epoch 55/100, train loss:0.468093, valid auc:0.72865, valid acc:0.60992, valid f1:0.73978
Epoch 56/100, train loss:0.467587, valid auc:0.72879, valid acc:0.61026, valid f1:0.74004
Epoch 57/100, train loss:0.467187, valid auc:0.72915, valid acc:0.61048, valid f1:0.74019
Epoch 58/100, train loss:0.466477, valid auc:0.73033, valid acc:0.61119, valid f1:0.74069
Epoch 59/100, train loss:0.465684, valid auc:0.72996, valid acc:0.61244, valid f1:0.74180
Epoch 60/100, train loss:0.465251, valid auc:0.73039, valid acc:0.61192, valid f1:0.74134
Epoch 61/100, train loss:0.469942, valid auc:0.72767, valid acc:0.61293, valid f1:0.74235
Epoch 62/100, train loss:0.469349, valid auc:0.72905, valid acc:0.61279, valid f1:0.74228
Epoch 63/100, train loss:0.468627, valid auc:0.72849, valid acc:0.61397, valid f1:0.74324
Epoch 64/100, train loss:0.468198, valid auc:0.72799, valid acc:0.61345, valid f1:0.74284
Epoch 65/100, train loss:0.466892, valid auc:0.72858, valid acc:0.61375, valid f1:0.74314
Epoch 66/100, train loss:0.466001, valid auc:0.72840, valid acc:0.61367, valid f1:0.74294
Epoch 67/100, train loss:0.465155, valid auc:0.72881, valid acc:0.61466, valid f1:0.74374
Epoch 68/100, train loss:0.464345, valid auc:0.72912, valid acc:0.61373, valid f1:0.74299
Epoch 69/100, train loss:0.463490, valid auc:0.72931, valid acc:0.61382, valid f1:0.74315
Epoch 70/100, train loss:0.462591, valid auc:0.72932, valid acc:0.61479, valid f1:0.74385
Epoch 71/100, train loss:0.462038, valid auc:0.72925, valid acc:0.61559, valid f1:0.74452
Epoch 72/100, train loss:0.461680, valid auc:0.72880, valid acc:0.61595, valid f1:0.74483
Epoch 73/100, train loss:0.461109, valid auc:0.72898, valid acc:0.61516, valid f1:0.74427
Epoch 74/100, train loss:0.460656, valid auc:0.72934, valid acc:0.61494, valid f1:0.74411
Epoch 75/100, train loss:0.460336, valid auc:0.72905, valid acc:0.61564, valid f1:0.74471
Epoch 76/100, train loss:0.459934, valid auc:0.72894, valid acc:0.61541, valid f1:0.74446
Epoch 77/100, train loss:0.459767, valid auc:0.72911, valid acc:0.61628, valid f1:0.74519
Epoch 78/100, train loss:0.459382, valid auc:0.72936, valid acc:0.61639, valid f1:0.74534
Epoch 79/100, train loss:0.459164, valid auc:0.72884, valid acc:0.61658, valid f1:0.74548
Epoch 80/100, train loss:0.458717, valid auc:0.72972, valid acc:0.61680, valid f1:0.74563
Epoch 81/100, train loss:0.463210, valid auc:0.72873, valid acc:0.61656, valid f1:0.74552
Epoch 82/100, train loss:0.462398, valid auc:0.72839, valid acc:0.61754, valid f1:0.74634
Epoch 83/100, train loss:0.461430, valid auc:0.72850, valid acc:0.61813, valid f1:0.74687
Epoch 84/100, train loss:0.460649, valid auc:0.72812, valid acc:0.61809, valid f1:0.74680
Epoch 85/100, train loss:0.459722, valid auc:0.72805, valid acc:0.61784, valid f1:0.74660
Epoch 86/100, train loss:0.459197, valid auc:0.72863, valid acc:0.61832, valid f1:0.74698
Epoch 87/100, train loss:0.458355, valid auc:0.72793, valid acc:0.61788, valid f1:0.74667
Epoch 88/100, train loss:0.457760, valid auc:0.72795, valid acc:0.61820, valid f1:0.74694
Epoch 89/100, train loss:0.457195, valid auc:0.72781, valid acc:0.61792, valid f1:0.74680
Epoch 90/100, train loss:0.456720, valid auc:0.72900, valid acc:0.61912, valid f1:0.74770
Epoch 91/100, train loss:0.456279, valid auc:0.72809, valid acc:0.61853, valid f1:0.74721
Epoch 92/100, train loss:0.455642, valid auc:0.72807, valid acc:0.61950, valid f1:0.74803
Epoch 93/100, train loss:0.455320, valid auc:0.72770, valid acc:0.61920, valid f1:0.74786
Epoch 94/100, train loss:0.454922, valid auc:0.72831, valid acc:0.61939, valid f1:0.74798
Epoch 95/100, train loss:0.454505, valid auc:0.72860, valid acc:0.62070, valid f1:0.74897
Epoch 96/100, train loss:0.454033, valid auc:0.72826, valid acc:0.62013, valid f1:0.74855
Epoch 97/100, train loss:0.453591, valid auc:0.72850, valid acc:0.61942, valid f1:0.74795
Epoch 98/100, train loss:0.453234, valid auc:0.72894, valid acc:0.61997, valid f1:0.74841
Epoch 99/100, train loss:0.452859, valid auc:0.72890, valid acc:0.62074, valid f1:0.74899
Epoch 100/100, train loss:0.452342, valid auc:0.72830, valid acc:0.61980, valid f1:0.74832



Number of trainable variables: 8541157
